Which_country_do_you_live_in?,Patricipants,Job_as_Data_Analytics,Earn_a_certificate_accomplishment,Personal_Growth,Career_Change,Relevant_To_Current_Job,Other,social_media,career_websites,Newspapers,Networking,Company_Websites,Recruitment_Agencies,Other_Sources,Satisfaction_level,Usefull_Skills_Learned_And_Able_To_Aplly_As_Data_Analyst,Gain_Confidence_To_BE_Sucessful_Data_Analyst,Capstone_Project_Helped_To_Utilize_All_Skills_To_Practical_Use,Course_Material_Organized_And_Easy_To_Follow,Complexity_Of_Materials_Was_Appropriate_To_Background_And_Experience,Challenges_Reflection_Of_The_Course,Presentaion_Method_Of_The_Materials_By_Instructors_Contributed_TO_Learning,_Instructors_Made_The_Course_Interesting,The_Pace_Of_Instructors_Speech_Was_At_The_Right_Speed,Spreadsheets,BigQuery_(SQL),R_programming,Tableau,Data_Visualization_concepts,Asking_the_right_questions,Data_collection,Data_cleansing,Data_analysis,Presenting_the_data_findings,Communicating_with_stakeholders/colleagues,GDAC_Teachings_Were_Helpful_For_Job_Hunt_Skills,After_GDAC_Completion_Feeling_Ready_For_Entry_Level_Data_Analyst_Position
United States,89,74,50,49,65,11,1,26,56,2,26,39,21,2,3.9,4.2,3.54,3.85,4.49,4.15,4.38,4.35,4.34,4.25,3.54,3.79,3.47,3.24,3.63,3.74,3.52,3.73,3.7,3.64,3.62,3.21,3.18
India,36,27,21,16,20,4,3,15,24,0,7,17,4,1,4.36,4.19,4.03,4.19,4.67,4.5,4.5,4.69,4.64,4.56,3.97,3.72,3.69,3.61,4.17,4.14,4.03,4.06,4.25,4.25,4.19,3.86,3.81
Nigeria,26,21,13,16,16,8,1,11,19,1,8,11,4,1,4.35,4.38,4.12,4.23,4.58,4.27,4.65,4.54,4.69,4.54,4.15,3.65,3.69,3.54,3.92,4.23,4.38,4.31,4.15,3.96,4.15,3.88,3.92
Mexico,13,11,8,10,9,2,0,8,10,1,6,7,2,1,4.15,4.54,3.62,3.92,4.38,4.23,4.08,4.46,4.54,4.54,3.85,3.54,3.85,2.69,3.92,3.85,3.77,3.85,3.62,4.23,4,3.38,3.46
United Kingdom,12,6,6,5,9,1,0,5,7,0,3,4,3,0,3.92,3.83,3.08,3.58,4.67,4.17,4.17,4.25,4.17,4.42,3.5,3.67,3.58,3.42,3.83,4,3.67,3.83,3.92,3.75,3.67,3.08,3.17
Spain,8,6,2,5,6,2,0,1,4,0,1,3,0,0,3.88,4.25,3.75,3.88,4.38,4,4.63,4.38,4.38,4.5,3.5,3.38,3.88,3.63,3.63,3.63,3.88,3.63,3.75,3.38,3.5,3.63,3.38
Canada,7,6,5,6,6,0,0,3,4,0,2,4,2,0,4.29,4.86,4,4.29,4.57,4.71,4.86,4.86,4.86,4.71,4.14,4.43,4.29,4,4.43,4.57,4.14,4.71,4.71,4.43,4.57,4.29,3.71
South Africa,6,4,3,1,4,0,1,2,6,0,0,3,2,1,4,4.17,3.33,3.5,4.5,4.5,4.5,4.33,5,4.33,3.83,4.17,4.17,4.33,4,4.67,4.17,4.33,4.33,4.17,4,3.5,3.17
Indonesia,5,4,3,5,2,0,0,2,3,0,1,1,1,0,3.8,4.4,3.6,4.4,4.2,4.4,4.6,4.6,4.6,4.2,4.4,4.2,4.2,3.8,4.4,4,4,4.6,4.8,4.6,4.2,3.4,3.6
Ghana,5,4,2,4,1,1,0,3,4,0,2,3,2,0,4.2,4.6,4.4,4.6,4.8,4.6,4.8,4.8,4.8,4.8,3,3.8,3.4,3.6,4,4,3.8,4,3.6,3.8,4,4,3.8
Brazil,5,4,3,1,2,1,1,0,2,0,0,0,1,0,4.6,4.8,4,4.2,4.8,4.2,4.6,4.8,4.8,4.4,3.4,4.2,3.4,3.2,4.2,4.4,4.2,4.2,4.4,4,4,4,3.8
Portugal,4,2,3,3,2,0,0,1,3,0,1,1,1,0,4.5,4.25,3.25,4.5,4.75,4,4.25,4.75,5,5,2.5,3.75,4.5,4.25,3.25,4.25,4.25,4.5,4,3,3.5,2.75,3
Philippines,4,3,3,4,3,1,0,1,3,0,0,2,0,3,4.75,4,4,4.75,4.75,4,4.5,4.75,4.75,4.75,4.5,4.75,4.5,4.25,4.5,4.75,4.5,4.75,4.75,4.5,4.5,3.75,3.5
Pakistan,4,2,3,3,2,2,0,0,0,0,0,0,0,0,4.25,4.25,3.75,4.5,4.5,4,4.5,4.5,4.5,4,3.75,3.5,4,3.25,3.75,4.25,4,4,4,4.25,4,4,3.5
Germany,4,3,1,3,3,0,0,1,2,0,1,1,1,0,4.25,4.25,3.75,4.25,4.75,4.25,5,4.5,4.75,4.75,3.5,3.75,3,4,4.5,4,4.5,4.5,3.75,4.25,4.75,4,4
United Arab Emirates,3,3,1,1,3,1,0,0,2,0,0,0,0,0,5,4.67,3.33,4,5,5,5,5,4.33,4,3.67,4.33,4.33,5,4.67,4.33,4.33,4.67,4.67,4.67,4,3,2.67
Saudi Arabia,3,2,2,1,1,0,0,3,3,0,2,2,1,0,3.67,2.67,2.67,2.67,3.33,4.33,4,4.67,4.67,4.67,3,3.33,2,1.67,2.33,3.33,3,3.67,3.67,2.67,3,3,2.33
Netherlands,3,3,0,2,2,0,0,1,2,0,0,2,0,0,4,4.33,3.33,4.33,4.67,5,5,5,4.67,5,4,3.33,3.67,3,4.33,3.67,4,3.67,4.33,4,3.67,3.67,2.67
Malaysia,3,2,3,3,3,0,0,1,2,0,0,2,2,0,3.67,3.33,2.33,4,4.33,4.33,4,4.33,4.33,4.33,3.67,3.33,2.33,3.33,4,3.67,3.33,3.33,3.33,3.67,4,2.67,1.67
Kenya,3,1,3,2,1,0,0,0,2,0,1,1,1,0,3.67,3.67,3.67,4.33,4.67,3.67,4.67,4.33,5,5,3.67,3.33,3,3,4,4,2.67,3.33,3.33,4,4.33,4.67,3.67
Italy,3,2,1,2,1,0,0,0,1,0,1,0,0,0,4.67,4.33,3,4.33,3.67,4,4.67,4.67,4.33,4.67,3.67,3.67,4,3,3.67,4.67,3.33,3.67,3.67,4.33,4,4.33,3.33
Bangladesh,3,2,3,3,2,1,0,1,1,0,1,1,0,0,4,3.33,3.33,4,4.33,4,3.67,4.67,5,5,3.33,3,3.67,3,4,4.67,3,3.67,3.67,4.67,4.33,3.33,3
Vietnam,2,2,2,1,0,0,0,0,0,0,0,0,0,0,3.5,3.5,3,3.5,4,3.5,3,3.5,3.5,3,2.5,2.5,3.5,2,3,4,2.5,3.5,3.5,2.5,2,2.5,2
